Project	Disease Type	Primary Site	Program	Cases	Seq	Exp	SNV	CNV	Meth	Clinical	Bio	Files
FM-AD	"" 23 Disease Types	"" 42 Primary Sites	FM	18,004	0	0	18,004	0	0	18,004	18,004	36,134
TARGET-NBL	Neuroblastoma	Nervous System	TARGET	1,127	270	151	216	0	0	1,127	1,127	2,807
TCGA-BRCA	Breast Invasive Carcinoma	Breast	TCGA	1,098	1,098	1,097	1,044	1,096	1,095	1,097	1,098	27,207
TARGET-AML	Acute Myeloid Leukemia	Blood	TARGET	988	299	272	8	0	0	935	988	1,873
TARGET-WT	High-Risk Wilms Tumor	Kidney	TARGET	652	128	128	34	0	0	652	652	1,324
TCGA-GBM	Glioblastoma Multiforme	Brain	TCGA	617	406	166	396	593	423	596	617	9,657
TCGA-OV	Ovarian Serous Cystadenocarcinoma	Ovary	TCGA	608	575	492	443	573	602	587	608	13,054
TCGA-LUAD	Lung Adenocarcinoma	Lung	TCGA	585	582	519	569	518	579	522	585	14,804
TCGA-UCEC	Uterine Corpus Endometrial Carcinoma	Uterus	TCGA	560	559	559	542	547	559	548	560	13,604
TCGA-KIRC	Kidney Renal Clear Cell Carcinoma	Kidney	TCGA	537	535	534	339	532	533	537	537	12,272
TCGA-HNSC	Head and Neck Squamous Cell Carcinoma	Head and Neck	TCGA	528	528	528	510	521	528	528	528	12,895
TCGA-LGG	Brain Lower Grade Glioma	Brain	TCGA	516	516	516	513	514	516	515	516	12,603
TCGA-THCA	Thyroid Carcinoma	Thyroid	TCGA	507	507	507	496	505	507	507	507	12,703
TCGA-LUSC	Lung Squamous Cell Carcinoma	Lung	TCGA	504	504	504	497	504	503	504	504	13,124
TCGA-PRAD	Prostate Adenocarcinoma	Prostate	TCGA	500	498	498	498	498	498	500	500	12,568
TCGA-SKCM	Skin Cutaneous Melanoma	Skin	TCGA	470	470	469	470	470	470	470	470	11,265
TCGA-COAD	Colon Adenocarcinoma	Colorectal	TCGA	461	460	459	433	458	458	459	461	11,824
TCGA-STAD	Stomach Adenocarcinoma	Stomach	TCGA	443	443	439	441	443	443	443	443	10,731
TCGA-BLCA	Bladder Urothelial Carcinoma	Bladder	TCGA	412	412	412	412	412	412	412	412	10,193
TARGET-OS	Osteosarcoma	Bone	TARGET	381	0	0	0	0	0	282	381	4
TCGA-LIHC	Liver Hepatocellular Carcinoma	Liver	TCGA	377	377	376	375	376	377	377	377	9,511
TCGA-CESC	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	Cervix	TCGA	307	307	307	305	302	307	307	307	7,349
TCGA-KIRP	Kidney Renal Papillary Cell Carcinoma	Kidney	TCGA	291	291	291	288	290	291	291	291	7,368
TCGA-SARC	Sarcoma	Soft Tissue	TCGA	261	261	261	255	261	261	261	261	6,282
TCGA-LAML	Acute Myeloid Leukemia	Bone Marrow	TCGA	200	191	169	149	143	140	200	200	3,954
TCGA-ESCA	Esophageal Carcinoma	Esophagus	TCGA	185	185	184	184	185	185	185	185	4,473
TCGA-PAAD	Pancreatic Adenocarcinoma	Pancreas	TCGA	185	185	178	183	185	184	185	185	4,433
TCGA-PCPG	Pheochromocytoma and Paraganglioma	Adrenal Gland	TCGA	179	179	179	179	179	179	179	179	4,422
TCGA-READ	Rectum Adenocarcinoma	Colorectal	TCGA	172	171	167	158	166	165	170	172	4,012
TCGA-TGCT	Testicular Germ Cell Tumors	Testis	TCGA	150	150	150	150	134	150	134	150	3,636
TCGA-THYM	Thymoma	Thymus	TCGA	124	124	124	123	124	124	124	124	2,974
TCGA-KICH	Kidney Chromophobe	Kidney	TCGA	113	66	66	66	66	66	113	113	1,853
TCGA-ACC	Adrenocortical Carcinoma	Adrenal Gland	TCGA	92	92	80	92	92	80	92	92	2,108
TCGA-MESO	Mesothelioma	Pleura	TCGA	87	87	87	83	87	87	87	87	2,050
TCGA-UVM	Uveal Melanoma	Eye	TCGA	80	80	80	80	80	80	80	80	1,928
TARGET-RT	Rhabdoid Tumor	Kidney	TARGET	75	44	44	0	0	0	69	75	174
TCGA-DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	TCGA	58	48	48	48	48	48	48	58	1,163
TCGA-UCS	Uterine Carcinosarcoma	Uterus	TCGA	57	57	57	57	57	57	57	57	1,364
TCGA-CHOL	Cholangiocarcinoma	Bile Duct	TCGA	51	51	36	51	36	36	45	51	1,157
TARGET-CCSK	Clear Cell Sarcoma of the Kidney	Kidney	TARGET	13	0	0	0	0	0	13	13	2